"Year","Species","Yield_base"
1993,"REDFISH UNSEPARATED",2183971722.19041
1994,"REDFISH UNSEPARATED",2936417671.59163
1995,"REDFISH UNSEPARATED",2344034124.28533
1996,"REDFISH UNSEPARATED",5966993108.81882
1997,"REDFISH UNSEPARATED",4356977998.07094
1998,"REDFISH UNSEPARATED",5037601787.37052
1999,"REDFISH UNSEPARATED",5833296360.77725
2000,"REDFISH UNSEPARATED",3214397680.0622
2001,"REDFISH UNSEPARATED",1931268096.35005
2002,"REDFISH UNSEPARATED",1528503920.85848
2003,"REDFISH UNSEPARATED",1500280966.82625
2004,"REDFISH UNSEPARATED",1468635217.41255
2005,"REDFISH UNSEPARATED",1434187544.19204
2006,"REDFISH UNSEPARATED",1397481629.93708
2007,"REDFISH UNSEPARATED",1358994722.78821
2008,"REDFISH UNSEPARATED",1319148180.22402
2009,"REDFISH UNSEPARATED",1278313775.14914
2010,"REDFISH UNSEPARATED",1236818818.43512
1970,"TURBOT, GREENLAND HALIBUT",181003309.396044
1971,"TURBOT, GREENLAND HALIBUT",188331193.014805
1972,"TURBOT, GREENLAND HALIBUT",186630600.281335
1973,"TURBOT, GREENLAND HALIBUT",179626403.970065
1974,"TURBOT, GREENLAND HALIBUT",170578059.840271
1975,"TURBOT, GREENLAND HALIBUT",68326803.8809159
1976,"TURBOT, GREENLAND HALIBUT",16502645.81129
1977,"TURBOT, GREENLAND HALIBUT",103858081.927341
1978,"TURBOT, GREENLAND HALIBUT",271387519.359826
1979,"TURBOT, GREENLAND HALIBUT",130406758.958983
1980,"TURBOT, GREENLAND HALIBUT",144989726.27223
1981,"TURBOT, GREENLAND HALIBUT",36648060.2134081
1982,"TURBOT, GREENLAND HALIBUT",37042312.3526571
1983,"TURBOT, GREENLAND HALIBUT",62756088.2974649
1984,"TURBOT, GREENLAND HALIBUT",64086330.5944292
1985,"TURBOT, GREENLAND HALIBUT",61424212.0385365
1986,"TURBOT, GREENLAND HALIBUT",118325814.967369
1987,"TURBOT, GREENLAND HALIBUT",66451641.3370206
1988,"TURBOT, GREENLAND HALIBUT",125858582.083881
1989,"TURBOT, GREENLAND HALIBUT",61922934.9928554
1990,"TURBOT, GREENLAND HALIBUT",56866654.0936062
1991,"TURBOT, GREENLAND HALIBUT",173713597.114207
1992,"TURBOT, GREENLAND HALIBUT",102084270.182577
1993,"TURBOT, GREENLAND HALIBUT",79591728.8957804
1994,"TURBOT, GREENLAND HALIBUT",68793861.9874621
1995,"TURBOT, GREENLAND HALIBUT",80385475.1251314
1996,"TURBOT, GREENLAND HALIBUT",99767440.7656885
1997,"TURBOT, GREENLAND HALIBUT",43210383.2584188
1998,"TURBOT, GREENLAND HALIBUT",72788704.1287095
1999,"TURBOT, GREENLAND HALIBUT",46147126.2418443
2000,"TURBOT, GREENLAND HALIBUT",45275533.2066176
2001,"TURBOT, GREENLAND HALIBUT",38316865.1633912
2002,"TURBOT, GREENLAND HALIBUT",48718669.7382621
2003,"TURBOT, GREENLAND HALIBUT",32366859.3153017
2004,"TURBOT, GREENLAND HALIBUT",16734406.5919696
2005,"TURBOT, GREENLAND HALIBUT",1518728.88896998
2006,"TURBOT, GREENLAND HALIBUT",1524507.34563323
2007,"TURBOT, GREENLAND HALIBUT",1524504.90404247
2008,"TURBOT, GREENLAND HALIBUT",1519874.23865369
2009,"TURBOT, GREENLAND HALIBUT",1511441.21218125
2010,"TURBOT, GREENLAND HALIBUT",1499811.21642155
1970,"HADDOCK",1581836320.12797
1971,"HADDOCK",1944205899.72025
1972,"HADDOCK",2349926396.5964
1973,"HADDOCK",2798805841.01479
1974,"HADDOCK",3284766784.78572
1975,"HADDOCK",3801389444.93073
1976,"HADDOCK",7345101002.15299
1977,"HADDOCK",10863913169.8246
1978,"HADDOCK",14005653553.8555
1979,"HADDOCK",25675382100.1887
1980,"HADDOCK",18987440084.0494
1981,"HADDOCK",22364037934.7294
1982,"HADDOCK",15294338835.4023
1983,"HADDOCK",10380899609.1931
1984,"HADDOCK",9211195767.84575
1985,"HADDOCK",1138481922.2526
1986,"HADDOCK",543207466.495258
1987,"HADDOCK",94514159.3741667
1988,"HADDOCK",555341699.172025
1989,"HADDOCK",1117187431.0764
1990,"HADDOCK",5268007022.69182
1991,"HADDOCK",6419392452.29213
1992,"HADDOCK",5561578612.09968
1993,"HADDOCK",7797558693.67867
1994,"HADDOCK",7192090651.99696
1995,"HADDOCK",3897688871.18085
1996,"HADDOCK",2131651713.83137
1997,"HADDOCK",388175671.228474
1998,"HADDOCK",133753653.074049
1999,"HADDOCK",247156656.211031
2000,"HADDOCK",197201719.665704
2001,"HADDOCK",144200599.356837
2002,"HADDOCK",1219977535.88879
2003,"HADDOCK",1112651766.05591
2004,"HADDOCK",1002471453.98664
2005,"HADDOCK",890494961.462712
2006,"HADDOCK",777575238.051608
2007,"HADDOCK",664387594.9642
2008,"HADDOCK",551458287.467513
2009,"HADDOCK",439189548.285786
2010,"HADDOCK",327880856.323171
1970,"SILVER HAKE",50278087206.5227
1971,"SILVER HAKE",51354268998.264
1972,"SILVER HAKE",44847453305.6402
1973,"SILVER HAKE",36620017831.4529
1974,"SILVER HAKE",31619258031.5105
1975,"SILVER HAKE",10687205388.8847
1976,"SILVER HAKE",13235457668.5451
1977,"SILVER HAKE",15623204276.7555
1978,"SILVER HAKE",27379128634.6385
1979,"SILVER HAKE",47267051889.2768
1980,"SILVER HAKE",42432011814.8163
1981,"SILVER HAKE",26642824916.6466
1982,"SILVER HAKE",43488358106.465
1983,"SILVER HAKE",135558101742.827
1984,"SILVER HAKE",125074520112.701
1985,"SILVER HAKE",36893300858.2617
1986,"SILVER HAKE",51996293831.8965
1987,"SILVER HAKE",23364865128.8067
1988,"SILVER HAKE",26928065414.3066
1989,"SILVER HAKE",53441118344.3832
1990,"SILVER HAKE",29707857284.303
1991,"SILVER HAKE",22678560988.2083
1992,"SILVER HAKE",19308341388.5777
1993,"SILVER HAKE",24271840154.021
1994,"SILVER HAKE",12992235856.7777
1995,"SILVER HAKE",25537704920.6649
1996,"SILVER HAKE",13637951838.3434
1997,"SILVER HAKE",6124674469.28499
1998,"SILVER HAKE",3049943105.72367
