"Year","Species","Biomass_opt"
2003,"TURBOT, GREENLAND HALIBUT",1701189497.4164
2004,"TURBOT, GREENLAND HALIBUT",1817703478.84721
2005,"TURBOT, GREENLAND HALIBUT",1954494176.17001
2006,"TURBOT, GREENLAND HALIBUT",2111754316.98212
2007,"TURBOT, GREENLAND HALIBUT",2271175239.21734
2008,"TURBOT, GREENLAND HALIBUT",2430729608.40473
2009,"TURBOT, GREENLAND HALIBUT",2588146685.16083
2010,"TURBOT, GREENLAND HALIBUT",2741399161.22104
1970,"HADDOCK",79061592435.8912
1971,"HADDOCK",85885079137.3409
1972,"HADDOCK",93026747605.6484
1973,"HADDOCK",100412545207.124
1974,"HADDOCK",107667040410.427
1975,"HADDOCK",114552545953.94
1976,"HADDOCK",120658300775.435
1977,"HADDOCK",122437607336.659
1978,"HADDOCK",119938618253.724
1979,"HADDOCK",113955279352.999
1980,"HADDOCK",97335653559.0949
1981,"HADDOCK",85894352881.5816
1982,"HADDOCK",71909281048.3172
1983,"HADDOCK",63797701786.5962
1984,"HADDOCK",60113623809.721
1985,"HADDOCK",57874660353.1136
1986,"HADDOCK",64023923720.0952
1987,"HADDOCK",71677981925.4226
1988,"HADDOCK",80015102673.1604
1989,"HADDOCK",87398171770.3795
1990,"HADDOCK",93397545812.055
1991,"HADDOCK",94568416001.832
1992,"HADDOCK",93767335910.5445
1993,"HADDOCK",92936867470.1114
1994,"HADDOCK",89664090712.4651
1995,"HADDOCK",86390040643.2072
1996,"HADDOCK",85276619957.8052
1997,"HADDOCK",85274924151.6813
1998,"HADDOCK",86378148253.009
1999,"HADDOCK",87435548299.5244
2000,"HADDOCK",88144394213.5979
2001,"HADDOCK",88566644718.7939
2002,"HADDOCK",88667961961.7968
2003,"HADDOCK",87686137443.4979
2004,"HADDOCK",86350538057.0657
2005,"HADDOCK",84649301800.6699
2006,"HADDOCK",82577959770.6032
2007,"HADDOCK",80155784753.1444
2008,"HADDOCK",77430730744.4825
2009,"HADDOCK",74468381922.3538
2010,"HADDOCK",71345049521.6359
1970,"SANDLANCES",65059377202.3887
1971,"SANDLANCES",66093892856.6092
1972,"SANDLANCES",71022747504.0603
1973,"SANDLANCES",76256104712.518
1974,"SANDLANCES",76320631894.8275
1975,"SANDLANCES",70744422555.2089
1976,"SANDLANCES",58856321286.4512
1977,"SANDLANCES",43432227153.3915
1978,"SANDLANCES",31012972679.4019
1979,"SANDLANCES",24413793416.4636
1980,"SANDLANCES",20208873258.4022
1981,"SANDLANCES",19586683699.8719
1982,"SANDLANCES",23893589228.4478
1983,"SANDLANCES",29563155116.1524
1984,"SANDLANCES",35021716855.7142
1985,"SANDLANCES",40262463711.4997
1986,"SANDLANCES",43973403433.1409
1987,"SANDLANCES",46929513378.1189
1988,"SANDLANCES",48099721643.8014
1989,"SANDLANCES",43237989260.5341
1990,"SANDLANCES",36744156901.7454
1991,"SANDLANCES",31993121217.76
1992,"SANDLANCES",28980662234.6469
1993,"SANDLANCES",28188924534.0162
1994,"SANDLANCES",28865598001.7995
1995,"SANDLANCES",29937892164.602
1996,"SANDLANCES",31632837427.0739
1997,"SANDLANCES",35075598162.0751
1998,"SANDLANCES",40758216869.2723
1999,"SANDLANCES",48741681730.0387
2000,"SANDLANCES",58928096046.3134
2001,"SANDLANCES",70975908129.9404
2002,"SANDLANCES",84658924716.37
2003,"SANDLANCES",100278405177.94
2004,"SANDLANCES",116748625053.744
2005,"SANDLANCES",133084828503.207
2006,"SANDLANCES",148696214949.239
2007,"SANDLANCES",163184454492.387
2008,"SANDLANCES",176446579612.805
2009,"SANDLANCES",188589100026.134
2010,"SANDLANCES",199810736175.104
1970,"SILVER HAKE",60398768015.6296
1971,"SILVER HAKE",54291257343.3112
1972,"SILVER HAKE",47514082552.4281
1973,"SILVER HAKE",43094455550.5463
1974,"SILVER HAKE",40728738135.8574
1975,"SILVER HAKE",39087811977.8842
1976,"SILVER HAKE",54070083229.6779
1977,"SILVER HAKE",67091626019.7861
1978,"SILVER HAKE",78524971835.7138
1979,"SILVER HAKE",82799796857.0652
1980,"SILVER HAKE",73215589282.0901
1981,"SILVER HAKE",69702880037.8738
1982,"SILVER HAKE",90935408427.8475
1983,"SILVER HAKE",110905217620.533
1984,"SILVER HAKE",74496497152.132
1985,"SILVER HAKE",42948044304.1074
1986,"SILVER HAKE",47234567933.4357
1987,"SILVER HAKE",41230537605.2422
1988,"SILVER HAKE",52816807777.7753
1989,"SILVER HAKE",60909009167.8528
1990,"SILVER HAKE",49091113052.301
1991,"SILVER HAKE",48897163091.6267
1992,"SILVER HAKE",52208749888.7346
1993,"SILVER HAKE",58525630404.8138
1994,"SILVER HAKE",58923741958.4618
1995,"SILVER HAKE",70736804154.3669
1996,"SILVER HAKE",57971250994.8918
1997,"SILVER HAKE",54381891276.3348
1998,"SILVER HAKE",59287449115.9217
1999,"SILVER HAKE",69416060461.2777
2000,"SILVER HAKE",80325469513.2959
2001,"SILVER HAKE",92352358581.1523
2002,"SILVER HAKE",83242873093.0297
2003,"SILVER HAKE",94496460741.632
2004,"SILVER HAKE",101648076674.739
2005,"SILVER HAKE",105943889469.406
2006,"SILVER HAKE",108361923022.222
2007,"SILVER HAKE",109357316870.328
2008,"SILVER HAKE",109447256119.745
2009,"SILVER HAKE",109029139822.536
2010,"SILVER HAKE",108386761560.77
1970,"SPINY DOGFISH",7501855146.54018
1971,"SPINY DOGFISH",7476506053.98177
1972,"SPINY DOGFISH",7454608289.15358
1973,"SPINY DOGFISH",7434546663.1636
1974,"SPINY DOGFISH",7410674226.1722
1975,"SPINY DOGFISH",7380381109.05349
1976,"SPINY DOGFISH",7357438622.69176
1977,"SPINY DOGFISH",7337348271.1299
1978,"SPINY DOGFISH",7322464201.25154
1979,"SPINY DOGFISH",7318833798.12695
1980,"SPINY DOGFISH",7306536085.19412
1981,"SPINY DOGFISH",7266838072.95508
1982,"SPINY DOGFISH",7256615823.43303
1983,"SPINY DOGFISH",7267151445.30238
1984,"SPINY DOGFISH",7283609889.62816
1985,"SPINY DOGFISH",7291200320.10449
1986,"SPINY DOGFISH",7303556688.84437
1987,"SPINY DOGFISH",7316974601.48259
1988,"SPINY DOGFISH",7292950986.77652
1989,"SPINY DOGFISH",7254883608.94825
1990,"SPINY DOGFISH",7180582452.50782
1991,"SPINY DOGFISH",7069671475.06285
1992,"SPINY DOGFISH",6919303864.5856
1993,"SPINY DOGFISH",6737247829.46541
1994,"SPINY DOGFISH",6548915957.24218
1995,"SPINY DOGFISH",6356756557.75889
1996,"SPINY DOGFISH",6130149947.68457
1997,"SPINY DOGFISH",5883584527.55941
1998,"SPINY DOGFISH",5647892660.07468
1999,"SPINY DOGFISH",5402657657.30545
2000,"SPINY DOGFISH",5151774276.40676
2001,"SPINY DOGFISH",4894922975.79605
2002,"SPINY DOGFISH",4633384537.35608
2003,"SPINY DOGFISH",4376736623.88725
2004,"SPINY DOGFISH",4121390671.71324
2005,"SPINY DOGFISH",3869040477.3749
2006,"SPINY DOGFISH",3621261680.20338
2007,"SPINY DOGFISH",3379477421.83256
2008,"SPINY DOGFISH",3144961379.5967
2009,"SPINY DOGFISH",2918757840.3674
2010,"SPINY DOGFISH",2701668595.44436
1970,"WHITE HAKE",21648514097.7458
1971,"WHITE HAKE",20991512831.131
1972,"WHITE HAKE",18642788450.1582
1973,"WHITE HAKE",19323117421.9792
1974,"WHITE HAKE",19983637256.4811
1975,"WHITE HAKE",21195729427.9502
1976,"WHITE HAKE",22505395385.5369
1977,"WHITE HAKE",23622352114.7169
1978,"WHITE HAKE",23788193342.8825
1979,"WHITE HAKE",23506361662.724
1980,"WHITE HAKE",24307852884.0507
1981,"WHITE HAKE",21920346832.7357
1982,"WHITE HAKE",19220696937.6898
1983,"WHITE HAKE",18146885921.57
1984,"WHITE HAKE",17939233766.1061
1985,"WHITE HAKE",18282073843.2649
1986,"WHITE HAKE",18901991266.3037
1987,"WHITE HAKE",18595795689.1573
1988,"WHITE HAKE",19705464897.5191
1989,"WHITE HAKE",20296966145.1103
1990,"WHITE HAKE",19964130419.1914
1991,"WHITE HAKE",19339990922.2495
1992,"WHITE HAKE",18236600140.6444
1993,"WHITE HAKE",16772358119.6865
1994,"WHITE HAKE",15554762057.0196
1995,"WHITE HAKE",14249979442.9072
1996,"WHITE HAKE",12833976710.6707
1997,"WHITE HAKE",11381517511.922
1998,"WHITE HAKE",9964982756.14222
1999,"WHITE HAKE",8626530516.94036
2000,"WHITE HAKE",7388443612.32659
2001,"WHITE HAKE",6261438863.07873
2002,"WHITE HAKE",5247559475.39222
2003,"WHITE HAKE",4357048263.15344
2004,"WHITE HAKE",3580722227.44597
2005,"WHITE HAKE",2911374383.05535
2006,"WHITE HAKE",2340507122.05957
2007,"WHITE HAKE",1859271689.01402
2008,"WHITE HAKE",1458926856.51032
2009,"WHITE HAKE",1130451390.10963
2010,"WHITE HAKE",864638771.153683
1970,"WITCH FLOUNDER",11510748883.0176
1971,"WITCH FLOUNDER",11329552201.281
