"Year","Species","Weight"
1984,"HADDOCK",526.987586403857
1985,"HADDOCK",540.329279748273
1986,"HADDOCK",653.935256342523
1987,"HADDOCK",611.919406411092
1988,"HADDOCK",519.11855877877
1989,"HADDOCK",341.466849354171
1990,"HADDOCK",486.1859763625
1991,"HADDOCK",556.563531495109
1992,"HADDOCK",568.362782026399
1993,"HADDOCK",446.116891426806
1994,"HADDOCK",351.451025045357
1995,"HADDOCK",386.784806558246
1996,"HADDOCK",278.062356048443
1997,"HADDOCK",315.357259806017
1998,"HADDOCK",354.747461193201
1999,"HADDOCK",94.3693586826473
2000,"HADDOCK",171.340358458686
2001,"HADDOCK",252.449932200337
2002,"HADDOCK",293.247164756848
2003,"HADDOCK",311.682588564642
2004,"HADDOCK",379.631439082398
2005,"HADDOCK",407.117390609883
2006,"HADDOCK",358.16284537685
2007,"HADDOCK",354.46345745515
2008,"HADDOCK",485.996482238497
2009,"HADDOCK",530.242062190058
2010,"HADDOCK",310.615193484767
1970,"HERRING",360.25947206008
1971,"HERRING",342.002739532883
1972,"HERRING",393.23925630813
1973,"HERRING",453.188936384027
1974,"HERRING",244.955319340266
1975,"HERRING",305.494945791741
1976,"HERRING",377.42373489878
1977,"HERRING",392.178018494041
1978,"HERRING",432.73729427416
1979,"HERRING",0
1980,"HERRING",240.428680259331
1981,"HERRING",443.788802635854
1982,"HERRING",363.320087241823
1983,"HERRING",330.38095384135
1984,"HERRING",349.405961379644
1985,"HERRING",309.769943029608
1986,"HERRING",299.950301575215
1987,"HERRING",279.795899452623
1988,"HERRING",284.78779268777
1989,"HERRING",341.428430514185
1990,"HERRING",290.797086130162
1991,"HERRING",331.493339008478
1992,"HERRING",338.847885332368
1993,"HERRING",359.960347673364
1994,"HERRING",268.34283442902
1995,"HERRING",247.4542797375
1996,"HERRING",243.542135957048
1997,"HERRING",245.644292319087
1998,"HERRING",226.267428038731
1999,"HERRING",220.793684857573
2000,"HERRING",209.486525187716
2001,"HERRING",200.643378844218
2002,"HERRING",175.21655165175
2003,"HERRING",203.991139002923
2004,"HERRING",189.582327817527
2005,"HERRING",194.987173334415
2006,"HERRING",194.051249547248
2007,"HERRING",233.412092882408
2008,"HERRING",243.744387771373
2009,"HERRING",201.336949925544
2010,"HERRING",155.869512269026
1970,"REDFISH UNSEPARATED",187.09811836677
1971,"REDFISH UNSEPARATED",308.225189692682
1972,"REDFISH UNSEPARATED",181.224484617707
1973,"REDFISH UNSEPARATED",221.270089780236
1974,"REDFISH UNSEPARATED",227.442393014233
1975,"REDFISH UNSEPARATED",304.940153635095
1976,"REDFISH UNSEPARATED",290.011177201976
