"Year","Country","GearCode","Tonnage","MainSpecies","Divcode","Code","Effort","Catches","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","DateCreated"
1960,2,10,4,29,37,101,0,0,2966,499,12,58,43,168,0,11,48,20,48,17,30/7/1996 0:00:00
1960,2,10,4,29,37,102,0,0,448,280,52,83,44,32,0,0,32,5,10,0,30/7/1996 0:00:00
1960,2,10,4,29,37,103,0,0,18,11,2,5,11,1,0,0,0,1,0,0,30/7/1996 0:00:00
1960,2,10,4,29,37,106,0,0,160,34,1,6,5,1,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,4,29,37,112,0,0,169,75,6,3,0,2,0,57,29,2,0,10,30/7/1996 0:00:00
1960,2,10,4,29,37,114,0,0,336,75,16,115,9,4,0,5,2,6,5,18,30/7/1996 0:00:00
1960,2,10,4,29,37,116,0,0,0,0,0,0,0,0,0,0,0,0,3,0,30/7/1996 0:00:00
1960,2,10,4,29,37,120,0,0,29,18,3,8,1,1,0,0,0,1,0,0,30/7/1996 0:00:00
1960,2,10,4,29,37,129,0,0,2,0,1,0,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,4,29,37,144,0,0,1,0,0,1,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,4,29,37,186,0,0,26,7,2,10,7,1,0,0,3,2,0,1,30/7/1996 0:00:00
1960,2,10,4,29,37,188,0,0,9,4,0,2,0,2,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,4,29,37,199,0,0,21,12,1,10,0,2,0,0,0,1,0,0,30/7/1996 0:00:00
1960,2,21,2,19,37,1,0,0,0,0,0,0,0,46,0,0,0,68,0,0,30/7/1996 0:00:00
1960,2,21,2,19,37,2,0,0,0,0,0,0,0,5,0,0,0,7,0,0,30/7/1996 0:00:00
1960,2,21,2,19,37,101,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30/7/1996 0:00:00
1960,2,21,2,19,37,103,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30/7/1996 0:00:00
1960,2,21,2,19,37,112,0,0,0,0,0,0,0,3,0,0,0,5,0,0,30/7/1996 0:00:00
1960,2,21,2,19,37,114,0,0,0,0,0,0,0,9,0,0,0,19,0,0,30/7/1996 0:00:00
1960,2,51,2,1,37,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,2,1,37,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,2,1,37,101,0,0,0,0,0,0,10,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,2,16,37,1,0,0,0,0,0,124,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,2,16,37,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,2,16,37,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,2,16,37,120,0,0,0,0,0,9,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,3,1,37,1,0,0,0,0,0,4,25,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,3,1,37,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,3,1,37,101,0,0,0,0,0,2,10,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,3,16,37,1,0,0,215,370,456,562,0,0,202,0,0,22,15,29,30/7/1996 0:00:00
1960,2,51,3,16,37,2,0,0,29,38,52,72,0,0,21,0,0,3,2,4,30/7/1996 0:00:00
1960,2,51,3,16,37,101,0,0,1,0,4,7,6,0,1,0,14,1,1,0,30/7/1996 0:00:00
1960,2,51,3,16,37,106,0,0,0,0,1,1,6,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,3,16,37,120,0,0,27,65,74,48,53,0,9,0,16,2,1,1,30/7/1996 0:00:00
1960,2,51,3,16,37,186,0,0,0,0,2,2,9,0,32,0,15,0,1,0,30/7/1996 0:00:00
1960,2,51,3,16,37,188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,3,16,37,199,0,0,0,0,1,2,1,0,7,0,2,0,0,0,30/7/1996 0:00:00
1960,2,51,4,16,37,1,0,0,0,321,296,244,22,20,0,58,10,8,158,75,30/7/1996 0:00:00
1960,2,51,4,16,37,2,0,0,0,43,30,27,2,2,0,10,1,1,21,9,30/7/1996 0:00:00
